PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471952099884,1471952100199,16,315,195.0
1471952100079,1471952100205,84,126,198.0
1471952100277,1471952100388,72,111,64.0
1471952100341,1471952100505,65,164,137.0
1471952100478,1471952100636,78,158,67.0
1471952100545,1471952100741,75,196,112.0
1471952100657,1471952100810,83,153,114.0
1471952100771,1471952100922,32,151,116.0
1471952100887,1471952101043,70,156,100.0
1471952100987,1471952101146,79,159,112.0
1471952101099,1471952101257,82,158,113.0
1471952101212,1471952101375,32,163,157.0
1471952101369,1471952101521,65,152,112.0
1471952101481,1471952101574,76,93,132.0
1471952101613,1471952101770,76,157,58.0
1471952101671,1471952101856,32,185,362.0
1471952102033,1471952102203,89,170,124.0
1471952102157,1471952102382,79,225,100.0
1471952102257,1471952102481,85,224,118.0
1471952102375,1471952102592,32,217,157.0
1471952102532,1471952102723,65,191,126.0
1471952102658,1471952102836,82,178,105.0
1471952102763,1471952102923,69,160,114.0
1471952102877,1471952103034,32,157,144.0
1471952103021,1471952103172,68,151,105.0
1471952103126,1471952103303,79,177,65.0
1471952103191,1471952103441,73,250,139.0
1471952103330,1471952103467,78,137,182.0
1471952103512,1471952103648,71,136,170.0
1471952103682,1471952103877,190,195,137.0
1471952103819,1471952103944,32,125,4335.0
1471952108154,1471952108602,16,448,244.0
1471952108398,1471952108577,87,179,292.0
1471952108690,1471952108831,72,141,111.0
1471952108801,1471952109000,65,199,161.0
1471952108962,1471952109139,84,177,239.0
1471952109201,1471952109319,32,118,345.0
1471952109546,1471952109769,68,223,156.0
1471952109702,1471952109893,79,191,112.0
1471952109814,1471952109993,32,179,112.0
1471952109926,1471952110095,89,169,111.0
1471952110037,1471952110220,79,183,132.0
1471952110169,1471952110335,85,166,64.0
1471952110233,1471952110402,32,169,182.0
1471952110415,1471952110578,83,163,83.0
1471952110498,1471952110691,72,193,87.0
1471952110585,1471952110776,79,191,112.0
1471952110697,1471952110880,87,183,158.0
1471952110855,1471952111020,32,165,158.0
1471952111013,1471952111210,65,197,144.0
1471952111157,1471952111349,83,192,153.0
1471952111310,1471952111472,32,162,182.0
1471952111492,1471952111603,84,111,86.0
1471952111578,1471952111725,72,147,61.0
1471952111639,1471952111789,69,150,144.0
1471952111783,1471952111953,32,170,203.0
1471952111986,1471952112136,83,150,183.0
1471952112169,1471952112279,84,110,434.0
1471952112603,1471952112779,79,176,271.0
1471952112874,1471952113027,82,153,99.0
1471952112973,1471952113149,65,176,689.0
1471952113662,1471952113804,71,142,181.0
1471952113843,1471952114021,69,178,529.0
1471952114372,1471952114533,32,161,309.0
1471952114681,1471952114837,83,156,233.0
1471952114914,1471952115057,67,143,284.0
1471952115198,1471952115347,72,149,214.0
1471952115412,1471952115543,69,131,233.0
1471952115645,1471952115746,67,101,316.0
1471952115961,1471952116065,8,104,762.0
1471952116723,1471952116846,68,123,170.0
1471952116893,1471952117056,85,163,110.0
1471952117003,1471952117162,76,159,146.0
1471952117149,1471952117305,69,156,321.0
1471952117470,1471952117931,16,461,184.0
1471952117654,1471952117845,191,191,3006.0
1471952120660,1471952121808,16,1148,338.0
1471952120998,1471952121128,79,130,1019.0
1471952122017,1471952122206,85,189,131.0
1471952122148,1471952122324,82,176,170.0
1471952122318,1471952122518,32,200,843.0
1471952123161,1471952123335,70,174,281.0
1471952123442,1471952123630,79,188,295.0
1471952123737,1471952123860,82,123,281.0
1471952124018,1471952124238,86,220,239.0
1471952124257,1471952124493,69,236,198.0
1471952124455,1471952124585,83,130,266.0
1471952124721,1471952124803,8,82,140.0
1471952124861,1471952124952,8,91,155.0
1471952125016,1471952125134,8,118,125.0
1471952125141,1471952125371,67,230,111.0
1471952125252,1471952125496,69,244,145.0
1471952125397,1471952125581,83,184,333.0
