KEYCODE,ht,df
16,149,77.0
82,120,272.0
69,111,200.0
70,47,112.0
70,112,192.0
69,88,112.0
82,104,404.0
73,167,229.0
78,126,167.0
71,124,71.0
32,136,176.0
84,129,160.0
79,112,264.0
32,105,209.0
72,103,240.0
73,200,1103.0
83,121,88.0
32,112,1892.0
77,108,149.0
69,89,146.0
69,102,446.0
84,130,170.0
73,120,237.0
78,98,180.0
71,117,142.0
32,103,210.0
73,118,191.0
78,95,190.0
32,120,338.0
16,182,96.0
87,118,231.0
65,119,137.0
83,143,368.0
72,111,225.0
73,133,214.0
78,112,354.0
84,119,609.0
8,102,111.0
71,109,264.0
84,134,183.0
79,94,240.0
78,104,393.0
32,93,1272.0
87,127,160.0
73,118,245.0
84,121,87.0
72,123,307.0
32,111,175.0
16,616,122.0
85,111,295.0
83,110,392.0
32,78,647.0
16,208,136.0
80,112,345.0
82,112,217.0
69,135,280.0
83,127,173.0
73,114,225.0
68,111,233.0
69,111,143.0
78,96,154.0
84,127,143.0
32,102,1015.0
16,200,113.0
66,112,241.0
73,111,247.0
76,95,145.0
76,69,199.0
32,120,152.0
16,198,143.0
67,95,362.0
76,119,375.0
73,111,253.0
78,119,295.0
84,128,112.0
79,96,177.0
78,104,1393.0
190,111,7976.0
16,175,183.0
87,88,171.0
69,132,1199.0
8,93,153.0
8,84,85.0
16,618,490.0
87,111,225.0
69,111,311.0
32,120,744.0
83,150,94.0
79,113,210.0
76,143,160.0
68,112,137.0
32,140,438.0
84,103,87.0
72,144,193.0
69,110,102.0
32,123,219.0
16,661,161.0
85,110,308.0
75,128,290.0
32,103,423.0
66,87,336.0
85,119,208.0
73,112,215.0
83,129,354.0
78,103,183.0
69,113,231.0
83,112,153.0
83,104,216.0
32,120,1930.0
8,86,158.0
8,80,160.0
8,82,156.0
8,77,168.0
8,76,167.0
8,85,186.0
8,74,763.0
83,128,236.0
73,109,222.0
78,104,282.0
69,102,253.0
83,108,163.0
83,100,166.0
32,119,1144.0
84,110,86.0
79,104,243.0
32,117,182.0
16,1135,229.0
65,107,236.0
69,126,504.0
80,112,992.0
190,96,3088.0
16,222,160.0
73,102,250.0
32,123,180.0
87,106,218.0
65,110,183.0
83,143,159.0
78,98,922.0
222,103,145.0
84,116,182.0
32,127,931.0
65,100,175.0
83,124,85.0
32,113,258.0
80,128,238.0
82,105,203.0
69,110,366.0
80,164,202.0
65,127,224.0
82,110,207.0
69,95,176.0
68,143,113.0
32,101,720.0
65,132,448.0
83,130,112.0
32,135,367.0
16,206,127.0
73,104,218.0
32,150,337.0
87,104,105.0
73,117,221.0
76,103,145.0
76,77,181.0
32,106,296.0
66,87,242.0
32,86,30.0
87,160,802.0
8,102,190.0
8,88,209.0
87,142,240.0
32,128,1120.0
8,80,144.0
8,113,162.0
69,125,255.0
32,112,537.0
84,110,80.0
72,94,215.0
73,102,183.0
83,111,119.0
32,104,491.0
89,101,152.0
69,103,223.0
65,127,111.0
82,86,514.0
190,84,3089.0
16,292,199.0
73,101,197.0
32,121,154.0
65,134,143.0
77,105,178.0
32,102,401.0
72,118,94.0
79,105,192.0
80,103,200.0
73,103,237.0
78,90,242.0
71,119,87.0
32,112,169.0
84,113,103.0
79,122,291.0
32,110,519.0
67,86,317.0
79,120,208.0
77,106,268.0
80,103,175.0
76,119,232.0
69,104,216.0
84,104,128.0
69,103,496.0
32,106,838.0
84,114,99.0
72,116,191.0
69,133,241.0
77,93,199.0
32,120,416.0
84,114,102.0
79,113,362.0
68,103,224.0
65,159,135.0
89,110,311.0
32,104,1506.0
79,94,457.0
82,126,135.0
32,102,304.0
84,112,113.0
79,93,191.0
77,107,193.0
79,94,409.0
82,92,141.0
82,103,192.0
79,105,226.0
87,111,232.0
32,101,437.0
77,90,180.0
79,119,223.0
82,134,158.0
78,97,211.0
73,102,174.0
78,119,321.0
71,102,456.0
190,94,2824.0
16,439,303.0
82,111,501.0
8,100,181.0
16,284,189.0
84,120,224.0
82,97,684.0
89,110,281.0
32,108,1035.0
84,127,63.0
72,129,202.0
73,129,248.0
83,129,64.0
32,120,233.0
79,112,225.0
78,150,190.0
69,135,152.0
32,111,705.0
78,95,182.0
79,129,337.0
87,129,81.0
32,118,264.0
65,135,96.0
78,126,448.0
68,135,169.0
32,109,269.0
76,119,168.0
69,114,219.0
84,108,253.0
32,105,247.0
77,120,81.0
69,122,162.0
32,101,209.0
75,110,158.0
78,103,217.0
79,111,217.0
69,110,509.0
8,122,138.0
87,110,291.0
190,91,2786.0
16,225,195.0
73,95,215.0
32,135,306.0
72,119,94.0
65,129,145.0
86,103,184.0
69,130,114.0
32,109,206.0
78,86,185.0
79,102,214.0
32,104,298.0
80,103,200.0
69,119,215.0
82,119,362.0
83,116,148.0
79,96,252.0
78,109,141.0
65,128,161.0
76,79,305.0
32,111,904.0
84,109,222.0
82,105,265.0
65,160,673.0
78,102,245.0
83,111,259.0
65,119,103.0
67,95,201.0
84,102,381.0
73,112,193.0
79,96,209.0
78,111,367.0
83,120,123.0
32,125,1205.0
87,121,159.0
73,129,242.0
84,120,88.0
72,110,289.0
32,110,956.0
65,139,162.0
78,96,234.0
89,110,264.0
32,110,535.0
16,656,462.0
69,113,570.0
78,104,233.0
82,118,192.0
79,110,208.0
78,118,207.0
32,102,552.0
69,104,768.0
78,104,282.0
84,123,140.0
73,112,1097.0
84,103,104.0
73,118,785.0
188,93,529.0
8,94,256.0
